GEOID,NAME,B17001_001,B17001_002,B20004_001,B20004_002,B20004_003,B20004_004,B20004_005,B20004_006,B25014_001,B25014_002,B25014_003,B25014_004,B25014_005,B25014_006,B25014_007,B25014_008,B25014_009,B25014_010,B25014_011,B25014_012,B25014_013,B25064_001,B25071_001
00739,ZCTA5 00739,36643,16176,18189,10466,15627,17404,22642,32156,11793,7829,4448,3306,75,0,0,3964,2087,1780,71,26,0,495,37
00740,ZCTA5 00740,1915,1287,12485,6250,15391,11558,23846,NA,740,315,190,109,16,0,0,425,155,240,18,12,0,425,24.5
00741,ZCTA5 00741,4028,1787,15765,NA,14333,17321,29521,NA,1324,1057,745,257,48,7,0,267,168,84,15,0,0,614,51
00745,ZCTA5 00745,49890,19433,18240,11667,15925,18881,25148,37831,15867,12004,7342,4287,327,48,0,3863,1926,1695,218,11,13,527,31.8
00751,ZCTA5 00751,20620,10007,15131,10598,13177,14631,24855,27148,7609,6004,3892,2000,101,0,11,1605,932,578,86,9,0,413,23.7
00754,ZCTA5 00754,36837,16064,18429,12432,15147,18180,28348,35189,13650,10273,6452,3497,297,27,0,3377,1983,1225,118,51,0,498,41.7
00757,ZCTA5 00757,21757,9867,18401,4512,14187,18077,22500,36943,7367,5714,3625,1966,87,12,24,1653,907,727,19,0,0,488,27.4
00765,ZCTA5 00765,8523,3923,15743,14706,16782,9698,28207,NA,2210,1531,1201,322,8,0,0,679,379,198,102,0,0,639,25.8
00766,ZCTA5 00766,22547,10816,15794,6512,13343,15218,23889,35923,8071,5597,3360,2052,185,0,0,2474,1273,1154,47,0,0,399,28.4
00767,ZCTA5 00767,33446,17766,17496,9207,14197,19433,18528,36134,11541,8306,5416,2579,267,34,10,3235,1814,1366,28,27,0,454,36.7
00769,ZCTA5 00769,38773,17855,17640,11524,14634,18902,22435,35313,13040,10057,6405,3455,159,38,0,2983,1574,1238,123,48,0,493,28.1
00771,ZCTA5 00771,36819,15647,20830,12168,14405,20172,24364,36176,12199,9500,5572,3538,347,43,0,2699,1199,1278,222,0,0,560,34.7
00772,ZCTA5 00772,19529,10320,17433,15464,16312,16691,26557,28167,6438,4246,2583,1511,142,0,10,2192,936,1040,211,5,0,368,28.8
00773,ZCTA5 00773,18050,7682,17138,14238,15612,17028,24178,25825,6582,4684,2932,1643,101,8,0,1898,939,905,54,0,0,461,37.4
00775,ZCTA5 00775,1279,465,16696,15362,16875,17750,NA,NA,474,291,162,90,33,6,0,183,67,95,17,4,0,578,28.9
00777,ZCTA5 00777,39547,18622,18614,10109,15567,16778,26222,33945,12782,9185,5434,3495,230,26,0,3597,1738,1672,137,32,18,443,33.6
00778,ZCTA5 00778,46495,14101,23740,7272,14740,22355,35181,45018,14498,11921,7982,3581,272,6,80,2577,1069,1391,82,35,0,622,33
00780,ZCTA5 00780,10969,5132,19441,6575,9805,15810,24407,40199,3982,3353,2284,1011,58,0,0,629,323,266,40,0,0,773,26.5
00782,ZCTA5 00782,17594,10316,16377,9550,14325,16937,26630,35147,5207,2879,1634,1217,28,0,0,2328,1512,781,35,0,0,453,35.2
00783,ZCTA5 00783,32581,18420,18539,13342,16011,18022,24691,22768,10375,7885,4901,2774,164,32,14,2490,1355,1055,46,24,10,514,32.7
00784,ZCTA5 00784,38037,19004,20206,15328,15690,19132,26415,31430,13708,9931,6770,2941,134,86,0,3777,2014,1699,64,0,0,376,32.4
00786,ZCTA5 00786,360,46,25179,NA,25179,NA,NA,NA,99,99,0,99,0,0,0,0,0,0,0,0,0,NA,NA
00791,ZCTA5 00791,48143,20620,18218,14715,15600,19738,26391,26207,16291,11652,7507,3816,278,51,0,4639,2441,1833,274,76,15,429,29.8
00794,ZCTA5 00794,28179,15733,16386,10703,13541,16277,22846,25161,8741,6432,3779,2354,251,24,24,2309,1184,1025,77,23,0,409,47.6
00795,ZCTA5 00795,43835,20501,16869,9285,13848,15411,24359,30914,14782,10464,6303,3869,210,67,15,4318,2483,1722,85,28,0,508,29.7
00901,ZCTA5 00901,5746,2437,24767,10625,15254,21439,22438,48864,2760,1051,870,154,0,23,4,1709,1033,601,46,29,0,522,34.7
00906,ZCTA5 00906,191,14,70192,NA,NA,NA,51250,72212,115,101,21,65,0,15,0,14,0,14,0,0,0,NA,NA
00907,ZCTA5 00907,15128,3900,31267,13381,17163,19767,35878,52901,8043,4718,3648,1016,34,20,0,3325,2170,1108,20,27,0,803,30.5
00909,ZCTA5 00909,4619,2013,20846,15057,16420,15179,35577,41198,2243,1011,758,247,0,0,6,1232,713,496,6,12,5,510,30.8
00911,ZCTA5 00911,7078,1763,30823,13295,11330,15497,33371,54257,3591,1928,1461,435,9,23,0,1663,1038,600,18,7,0,726,33.1
